City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Dikson,RU,73.5069,80.5464,40.66,89,99,10.4,overcast clouds
267,Yakeshi,CN,49.2833,120.7333,60.76,88,35,2.39,scattered clouds
268,Padang,ID,-0.9492,100.3543,78.01,88,77,3.09,light rain
269,Kokopo,PG,-4.352,152.2633,76.93,85,98,9.24,overcast clouds
270,Christchurch,NZ,-43.5333,172.6333,34.41,78,7,1.14,clear sky
271,Port Lincoln,AU,-34.7333,135.8667,52.02,79,5,14.05,clear sky
272,Altagracia De Orituco,VE,9.8601,-66.3814,85.41,59,44,5.48,scattered clouds
273,Ternate,ID,0.8,127.4,80.15,79,100,0.38,overcast clouds
274,Meulaboh,ID,4.1363,96.1285,76.66,89,87,3.76,moderate rain
275,Felipe Carrillo Puerto,MX,19.5833,-88.05,90.93,52,56,7.65,broken clouds
276,Kiunga,PG,-6.1219,141.2906,73.62,99,69,2.64,broken clouds
277,Lyubech,UA,51.7026,30.6569,67.6,66,96,9.31,overcast clouds
278,Barranca,PE,-10.75,-77.7667,65.3,72,69,10.13,broken clouds
279,Ostrovnoy,RU,68.0531,39.5131,59.43,75,71,7.09,broken clouds
280,Acarau,BR,-2.8856,-40.12,82.98,70,56,16.78,broken clouds
281,Hirara,JP,24.8,125.2833,80.58,87,100,16.51,moderate rain
282,Gazojak,TM,41.1875,61.4036,86.59,24,68,16.04,broken clouds
283,Valdivia,CL,-39.8142,-73.2459,51.89,67,95,2.13,overcast clouds
284,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,88.61,49,71,5.17,broken clouds
285,Naantali,FI,60.4674,22.0243,70.21,40,0,8.05,clear sky
286,Manono,CD,-7.3,27.4167,84.09,29,5,2.06,clear sky
287,Black River,JM,18.0264,-77.8487,91.72,51,4,19.8,clear sky
288,Shenjiamen,CN,29.9576,122.298,81.37,86,100,7.14,overcast clouds
289,Glenwood Springs,US,39.5505,-107.3248,77.4,46,100,0.0,overcast clouds
290,Codrington,AU,-38.2667,141.9667,43.38,95,66,10.8,broken clouds
291,Polunochnoye,RU,60.8697,60.4153,60.39,80,100,3.49,overcast clouds
292,Siderno,IT,38.2779,16.302,80.74,71,0,3.6,clear sky
293,Iqaluit,CA,63.7506,-68.5145,53.33,71,75,5.75,broken clouds
294,Katima Mulilo,NA,-17.5,24.2667,64.56,17,26,4.88,scattered clouds
295,Gidam,IN,18.9833,81.4,75.97,93,100,0.94,overcast clouds
296,Yabelo,ET,4.8833,38.0833,63.88,60,100,11.68,overcast clouds
297,Atbasar,KZ,51.8,68.3333,66.63,67,91,6.42,overcast clouds
298,North Bend,US,43.4065,-124.2243,63.16,88,100,6.91,overcast clouds
299,Sechura,PE,-5.5569,-80.8222,74.46,58,23,12.73,few clouds
300,Kahului,US,20.8947,-156.47,78.84,70,20,11.5,few clouds
301,Waipawa,NZ,-41.4122,175.5153,37.2,86,4,4.29,clear sky
302,Ketchikan,US,55.3422,-131.6461,63.07,100,100,9.22,mist
303,Le Port,RE,-20.9373,55.2919,70.25,72,33,9.28,scattered clouds
304,Goderich,CA,43.7501,-81.7165,73.9,63,35,6.42,scattered clouds
305,Riviere-Au-Renard,CA,48.9957,-64.3971,75.49,61,76,14.99,broken clouds
306,Sept-Iles,CA,50.2001,-66.3821,77.0,64,75,12.66,broken clouds
307,Bontang,ID,0.1333,117.5,74.23,90,100,4.5,overcast clouds
308,Cortez,US,37.3489,-108.5859,73.94,60,75,3.44,broken clouds
309,Winneba,GH,5.3511,-0.6231,74.21,85,98,14.27,overcast clouds
310,College,US,64.8569,-147.8028,57.58,94,75,3.44,fog
311,Aykhal,RU,66.0,111.5,59.36,95,100,13.87,overcast clouds
312,Bogatic,RS,44.8375,19.4806,80.91,31,69,0.78,broken clouds
313,Drumnadrochit,GB,57.3344,-4.4799,62.29,53,22,7.45,few clouds
314,San Felipe,VE,10.3399,-68.7425,84.22,72,85,1.52,overcast clouds
315,Sydney,AU,-33.8679,151.2073,59.72,62,0,14.97,clear sky
316,Kavieng,PG,-2.5744,150.7967,81.46,77,94,17.07,light rain
317,Gamba,GA,-2.65,10.0,72.16,90,42,9.57,scattered clouds
318,Ajdabiya,LY,30.7554,20.2263,80.55,77,0,14.67,clear sky
319,Namibe,AO,-15.1961,12.1522,65.03,77,0,11.5,clear sky
320,Sinnamary,GF,5.3833,-52.95,83.52,75,18,8.16,few clouds
321,Gurlan,UZ,41.8447,60.3919,87.71,28,83,16.22,broken clouds
322,Daru,PG,-9.0763,143.2092,75.88,93,67,11.95,broken clouds
323,Gamboma,CG,-1.8764,15.8644,85.53,37,36,8.37,scattered clouds
324,Bafra,TR,41.5678,35.9069,73.24,87,0,2.48,clear sky
325,Zemio,CF,5.0314,25.1361,68.49,90,94,2.42,overcast clouds
326,Saint Anthony,US,45.0205,-93.218,85.84,56,0,24.16,clear sky
327,Keetmanshoop,NA,-26.5833,18.1333,54.07,32,0,14.56,clear sky
