City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Palmer,US,85.91,broken clouds,42.1584,-72.3287,Wedgewood Motel
598,Lengshuitan,CN,80.02,clear sky,26.4111,111.5956,Jialong Hotel
599,Flagstaff,US,76.55,few clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
600,Itarema,BR,84.11,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
601,Phalodi,IN,85.21,overcast clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
602,Shieli,KZ,77.52,few clouds,44.1667,66.75,Gostinitsa Aybek Shieli
604,Broken Arrow,US,79.25,broken clouds,36.0526,-95.7908,"Holiday Inn Express & Suites Tulsa S Broken Arrow Hwy 51, an IHG Hotel"
605,Frutal,BR,87.6,clear sky,-20.0247,-48.9406,Hotel Recanto Dos Ipês
611,Saran,FR,88.83,clear sky,47.9501,1.876,Hôtel Première Classe Orléans Nord Saran
614,Pandaria,IN,80.96,overcast clouds,22.2333,81.4167,Sonu Rajak
615,Praya,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
622,Laki,BG,75.36,broken clouds,41.85,24.8167,HOTEL BROD LUCKY
624,Nabire,ID,75.33,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
625,Toshkivka,UA,76.96,few clouds,48.7791,38.579,ХАТА ГЛ.КАБАНА
628,Dabola,GN,77.22,moderate rain,10.75,-11.1167,Hotel Tinkisso
629,El Estor,GT,79.07,overcast clouds,15.5333,-89.35,Chalet Castillo
631,Matara,LK,77.41,light rain,5.9485,80.5353,Amaloh Boutique Resort
641,Louiseville,CA,79.95,clear sky,46.2559,-72.9415,Motel Normandie (066636)
642,Guider,CM,78.82,overcast clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
644,Kangaba,ML,82.24,light rain,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
645,Lokoja,NG,76.55,light rain,7.8024,6.743,Hotel Charvid
646,Riyadh,SA,89.74,light rain,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
647,Ransang,PH,78.46,light rain,8.9603,117.5828,Black and Crystal Sand Campsite
649,Kassala,SD,82.49,overcast clouds,15.451,36.4,Amassi Hotel Gash
651,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
654,Porto Empedocle,IT,84.31,clear sky,37.2934,13.5264,Hotel dei Pini
656,Tayu,ID,78.85,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
657,Coyah,GN,79.45,light rain,9.75,-13.4167,Motel Canal+
660,Jega,NG,81.09,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
661,Afzalgarh,IN,76.26,overcast clouds,29.4,78.6833,RGRK AGRICULTURE FARM
667,Manokwari,ID,77.7,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
670,Diebougou,BF,82.89,overcast clouds,10.9667,-3.25,Hotel Le Consulat
678,Kananga,CD,83.37,scattered clouds,-5.8958,22.4178,Guest House Wood Land
681,Hami,CN,84.33,scattered clouds,42.8,93.45,Laoyutang Resort
683,San Severo,IT,85.6,clear sky,41.6897,15.376,B&B Palazzo de Matteis
686,Foix,FR,79.77,few clouds,42.8333,1.5833,Résidence Thermale du Parc
688,Pemangkat,ID,76.42,overcast clouds,1.1667,108.9667,Ramah Kost KITA
689,Biltine,TD,83.48,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
